sample_name,sample_id
T3_D_D1_M5_R,T31
T3_D_D1_U41_R,T32
T3_D_D1_U46_S,T33
T3_D_D1_U65_S,T34
T3_D_D1_U72_R,T35
T3_D_D2_M1_S,T36
T3_D_D2_U37_R,T37
T3_D_D2_U58_S,T38
T3_D_D4_K1_R,T39
T3_D_D4_U47_S,310
T3_D_D4_U59_S,311
T3_D_D4_U67_R,312
T3_H_H1_U41_R,313
T3_H_H1_U46_S,314
T3_H_H1_U58_S,315
T3_H_H4_U37_R,316
T3_H_H4_U47_S,317
T3_H_H4_U65_S,318
T3_H_H4_U67_R,319
T3_H_H5_K1_R,320
T3_H_H5_M1_S,321
T3_H_H5_M5_R,322
T3_H_H5_U59_S,323
T3_H_H5_U72_R,324
T7_D_D1_M5_R,T71
T7_D_D1_U41_R,T72
T7_D_D1_U46_S,T73
T7_D_D1_U65_S,T74
T7_D_D1_U72_R,T75
T7_D_D2_M1_S,T76
T7_D_D2_U37_R,T77
T7_D_D2_U58_S,T78
T7_D_D4_K1_R,T79
T7_D_D4_U47_S,710
T7_D_D4_U59_S,711
T7_D_D4_U67_R,712
T7_H_H1_U41_R,713
T7_H_H1_U46_S,714
T7_H_H1_U58_S,715
T7_H_H4_U37_R,716
T7_H_H4_U47_S,717
T7_H_H4_U65_S,718
T7_H_H4_U67_R,719
T7_H_H5_K1_R,720
T7_H_H5_M1_S,721
T7_H_H5_M5_R,722
T7_H_H5_U59_S,723
T7_H_H5_U72_R,724